file_name,bbox,image_id,race,age,emotion,gender
100429351.jpg,"[601, 302, 299, 355]",2,Mongoloid,20-30s,Neutral,Female
100473997.jpg,"[706, 319, 290, 437]",3,Caucasian,20-30s,Neutral,Male
100868012.jpg,"[996, 248, 115, 169]",4,Mongoloid,20-30s,Sadness,Female
101013830.jpg,"[838, 477, 293, 363]",5,Caucasian,40-50s,Happiness,Male
101061106.jpg,"[805, 236, 280, 391]",6,Mongoloid,20-30s,Happiness,Female
101347438.jpg,"[833, 187, 241, 262]",7,Caucasian,20-30s,Sadness,Male
101564605.jpg,"[660, 247, 284, 338]",8,Mongoloid,40-50s,Neutral,Male
101954623.jpg,"[1250, 355, 156, 214]",9,Mongoloid,20-30s,Happiness,Female
102320148.jpg,"[916, 267, 207, 308]",10,Caucasian,20-30s,Happiness,Female
102495577.jpg,"[1182, 368, 215, 241]",11,Mongoloid,20-30s,Happiness,Male
102800204.jpg,"[1077, 294, 189, 251]",12,Caucasian,40-50s,Neutral,Male
102808405.jpg,"[936, 182, 145, 164]",13,Caucasian,20-30s,Sadness,Male
102808405.jpg,"[465, 855, 22, 27]",13,Caucasian,20-30s,Fear,Male
102830238.jpg,"[690, 489, 62, 76]",14,Mongoloid,20-30s,Anger,Male
102830238.jpg,"[739, 245, 205, 266]",14,Mongoloid,20-30s,Happiness,Male
102845105.jpg,"[1325, 907, 468, 617]",15,Mongoloid,20-30s,Happiness,Male
102971485.jpg,"[1068, 325, 158, 195]",16,Mongoloid,20-30s,Neutral,Female
103111120.jpg,"[1175, 872, 198, 251]",17,Mongoloid,20-30s,Anger,Female
103111120.jpg,"[1131, 149, 215, 277]",17,Caucasian,20-30s,Fear,Female
10321732.jpg,"[578, 182, 164, 215]",18,Mongoloid,20-30s,Neutral,Male
103239424.jpg,"[505, 565, 192, 242]",19,Caucasian,20-30s,Happiness,Female
103468042.jpg,"[748, 354, 596, 836]",20,Mongoloid,20-30s,Happiness,Female
10398160.jpg,"[630, 370, 231, 293]",22,Mongoloid,20-30s,Neutral,Male
104047421.jpg,"[709, 144, 338, 403]",23,Negroid,20-30s,Neutral,Male
