age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_name
40,"{'x': 594, 'y': 375, 'w': 217, 'h': 307}",0.9999915361404419,"{'Woman': 98.86806011199951, 'Man': 1.1319431476294994}",Woman,"{'asian': 99.99643564224243, 'indian': 4.967040467818151e-05, 'black': 1.5876747694321125e-07, 'white': 0.003271314926678315, 'middle eastern': 2.0186348592687864e-06, 'latino hispanic': 0.0002488911832188023}",asian,"{'angry': 4.619458024990308e-05, 'disgust': 3.5613257677070964e-11, 'fear': 1.2425840800744936e-06, 'happy': 99.99693632125854, 'sad': 5.790361612412198e-06, 'surprise': 6.772581939706868e-08, 'neutral': 0.0030122666430543177}",happy,69408896.jpg
34,"{'x': 838, 'y': 257, 'w': 266, 'h': 299}",0.9999210834503174,"{'Woman': 8.335482329130173, 'Man': 91.66452288627625}",Man,"{'asian': 0.8624168112874031, 'indian': 1.6991754993796349, 'black': 0.2691195113584399, 'white': 61.21003031730652, 'middle eastern': 20.280851423740387, 'latino hispanic': 15.67840576171875}",white,"{'angry': 3.323898068201772, 'disgust': 0.0005479647626790781, 'fear': 52.80771818069003, 'happy': 9.682756836684072e-05, 'sad': 39.6705192720271, 'surprise': 0.10771945697433269, 'neutral': 4.08949356204348}",fear,69934968.jpg
52,"{'x': 614, 'y': 271, 'w': 489, 'h': 705}",0.9999799728393555,"{'Woman': 0.12240658979862928, 'Man': 99.87758994102478}",Man,"{'asian': 99.10852313041687, 'indian': 0.2944604028016329, 'black': 0.0007479136911570095, 'white': 0.15305401757359505, 'middle eastern': 7.533452617281e-05, 'latino hispanic': 0.44314307160675526}",asian,"{'angry': 0.2980965600145793, 'disgust': 0.005484027096282443, 'fear': 4.433516304702539, 'happy': 4.6096857081241635e-06, 'sad': 95.14405102396316, 'surprise': 6.8759096740174e-06, 'neutral': 0.11883959649664738}",sad,3410477.jpg
29,"{'x': 1365, 'y': 273, 'w': 167, 'h': 225}",0.9999487400054932,"{'Woman': 99.9950647354126, 'Man': 0.00494023879582528}",Woman,"{'asian': 0.0029688886570511386, 'indian': 0.004903597800876014, 'black': 0.00012516462675193907, 'white': 97.33953475952148, 'middle eastern': 1.438143290579319, 'latino hispanic': 1.2143236584961414}",white,"{'angry': 2.691033110022545, 'disgust': 0.03341922129038721, 'fear': 3.18155437707901, 'happy': 43.20128262042999, 'sad': 7.1460433304309845, 'surprise': 0.03271348832640797, 'neutral': 43.71395409107208}",neutral,44989956.jpg
28,"{'x': 418, 'y': 148, 'w': 254, 'h': 343}",0.9968448877334595,"{'Woman': 24.034982919692993, 'Man': 75.965017080307}",Man,"{'asian': 3.3101460075465443, 'indian': 0.13292979775695787, 'black': 0.031705607105194454, 'white': 90.871112994618, 'middle eastern': 2.606373435638752, 'latino hispanic': 3.0477292789655492}",white,"{'angry': 1.7168711870908737, 'disgust': 0.0007940373507153708, 'fear': 29.928115010261536, 'happy': 0.0006040049811417703, 'sad': 0.008948789036367089, 'surprise': 43.39527189731598, 'neutral': 24.949394166469574}",surprise,79053495.jpg
28,"{'x': 1025, 'y': 429, 'w': 332, 'h': 378}",0.9989309906959534,"{'Woman': 51.43950581550598, 'Man': 48.56049418449402}",Woman,"{'asian': 42.54295825958252, 'indian': 2.1962998434901237, 'black': 0.6517613306641579, 'white': 38.8649046421051, 'middle eastern': 8.41865986585617, 'latino hispanic': 7.325413823127747}",asian,"{'angry': 49.68915283679962, 'disgust': 2.562727965414524, 'fear': 46.43393158912659, 'happy': 0.0059782585594803095, 'sad': 0.7740748580545187, 'surprise': 0.008114520460367203, 'neutral': 0.5260208155959845}",angry,3787201.jpg
36,"{'x': 999, 'y': 227, 'w': 416, 'h': 579}",0.9991896748542786,"{'Woman': 99.99829530715942, 'Man': 0.0017100479453802109}",Woman,"{'asian': 34.853506088256836, 'indian': 4.132765159010887, 'black': 0.6801805924624205, 'white': 26.976090669631958, 'middle eastern': 6.935281306505203, 'latino hispanic': 26.422175765037537}",asian,"{'angry': 6.335808986561008e-13, 'disgust': 1.765571619495975e-18, 'fear': 4.377884705686168e-13, 'happy': 99.99765157699585, 'sad': 3.701238968090159e-09, 'surprise': 2.411769135096664e-10, 'neutral': 0.002350814247620292}",happy,75097527.jpg
31,"{'x': 948, 'y': 384, 'w': 168, 'h': 240}",0.9999668598175049,"{'Woman': 99.94632601737976, 'Man': 0.053671590285375714}",Woman,"{'asian': 14.816953241825104, 'indian': 7.281669974327087, 'black': 0.10910553392022848, 'white': 47.21309244632721, 'middle eastern': 6.7079029977321625, 'latino hispanic': 23.871278762817383}",white,"{'angry': 0.004587222609865019, 'disgust': 0.0011474532126167219, 'fear': 0.23326661450962846, 'happy': 86.50177282073822, 'sad': 0.8976610238658161, 'surprise': 0.0002908260393095128, 'neutral': 12.36127095088113}",happy,31391762.jpg
33,"{'x': 188, 'y': 144, 'w': 577, 'h': 814}",0.9999442100524902,"{'Woman': 99.99977350234985, 'Man': 0.00023090149170457153}",Woman,"{'asian': 4.89642433822155, 'indian': 4.5857928693294525, 'black': 1.2096713297069073, 'white': 30.425730347633362, 'middle eastern': 14.089654386043549, 'latino hispanic': 44.79272663593292}",latino hispanic,"{'angry': 7.354987790658858e-24, 'disgust': 0.0, 'fear': 1.1222599732554687e-29, 'happy': 100.0, 'sad': 8.317377042303084e-21, 'surprise': 2.5107398574443268e-14, 'neutral': 3.9947888746949545e-09}",happy,image_1769.jpg
25,"{'x': 538, 'y': 111, 'w': 219, 'h': 304}",0.9999929666519165,"{'Woman': 0.010891207057284191, 'Man': 99.98910427093506}",Man,"{'asian': 0.1700744761437802, 'indian': 0.49219861347095806, 'black': 98.90067590467025, 'white': 0.005757985532263156, 'middle eastern': 0.001542345305862651, 'latino hispanic': 0.4297440359301524}",black,"{'angry': 0.01921601506182924, 'disgust': 5.396730832401067e-12, 'fear': 7.729780122645025e-05, 'happy': 0.31194048933684826, 'sad': 0.08408885914832354, 'surprise': 1.5224896898757834e-06, 'neutral': 99.58468079566956}",neutral,56212495.jpg
50,"{'x': 628, 'y': 249, 'w': 501, 'h': 701}",0.999988317489624,"{'Woman': 0.1186099136248231, 'Man': 99.88138675689697}",Man,"{'asian': 96.46856188774109, 'indian': 1.0337135754525661, 'black': 0.010197275696555153, 'white': 0.35274396650493145, 'middle eastern': 0.0016676720406394452, 'latino hispanic': 2.1331103518605232}",asian,"{'angry': 1.2265979186270863e-06, 'disgust': 9.963066556359993e-10, 'fear': 1.877935430295453e-05, 'happy': 99.91744756206558, 'sad': 0.0002579679329812156, 'surprise': 5.500321877179062e-05, 'neutral': 0.08222379746131882}",happy,3391976.jpg
22,"{'x': 965, 'y': 418, 'w': 357, 'h': 410}",0.9998258948326111,"{'Woman': 2.146168239414692, 'Man': 97.85383343696594}",Man,"{'asian': 100.0, 'indian': 4.070814171863724e-09, 'black': 3.3771637049669932e-15, 'white': 5.528348334671307e-08, 'middle eastern': 1.4158419087662667e-14, 'latino hispanic': 8.390776407019018e-08}",asian,"{'angry': 1.6684289366741822e-09, 'disgust': 8.465072574314106e-15, 'fear': 1.5446996112777889e-09, 'happy': 99.99823570251465, 'sad': 2.405444593511774e-09, 'surprise': 2.5570889850001777e-08, 'neutral': 0.0017629085050430149}",happy,68749995.jpg
38,"{'x': 1126, 'y': 437, 'w': 236, 'h': 309}",0.9999998807907104,"{'Woman': 99.48221445083618, 'Man': 0.517784059047699}",Woman,"{'asian': 97.38377363875226, 'indian': 0.6883423886188997, 'black': 0.011019061781289141, 'white': 0.09184264414398144, 'middle eastern': 0.000994001283938145, 'latino hispanic': 1.82402168076972}",asian,"{'angry': 3.7092624527446105e-07, 'disgust': 6.744841054515045e-17, 'fear': 7.3840052128293365e-09, 'happy': 99.93448853492737, 'sad': 5.296919014519119e-08, 'surprise': 0.00048013171181082726, 'neutral': 0.06503217155113816}",happy,13984942.jpg
37,"{'x': 710, 'y': 394, 'w': 142, 'h': 183}",0.9999982118606567,"{'Woman': 0.2229523379355669, 'Man': 99.77705478668213}",Man,"{'asian': 56.13074229589196, 'indian': 15.829607447432585, 'black': 3.4109931098230946, 'white': 4.578146910292278, 'middle eastern': 1.7910649727505479, 'latino hispanic': 18.259436695642865}",asian,"{'angry': 9.043769205359315, 'disgust': 0.8129700980520131, 'fear': 55.10229407521557, 'happy': 0.0221127195815294, 'sad': 19.166540304834808, 'surprise': 0.010321870874660582, 'neutral': 15.841988820792578}",fear,50874128.jpg
32,"{'x': 525, 'y': 501, 'w': 339, 'h': 385}",0.9971317052841187,"{'Woman': 33.804237842559814, 'Man': 66.19576215744019}",Man,"{'asian': 100.0, 'indian': 7.363082366040885e-10, 'black': 1.0625957384295865e-13, 'white': 2.679749222522787e-06, 'middle eastern': 1.612838958523974e-11, 'latino hispanic': 2.679094057711495e-07}",asian,"{'angry': 3.5085246052169545e-13, 'disgust': 2.6375444459206936e-21, 'fear': 1.6106400948742196e-12, 'happy': 100.0, 'sad': 2.176505368078549e-11, 'surprise': 1.802182426728638e-10, 'neutral': 4.920613250192218e-06}",happy,12196761.jpg
