age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_name
23,"{'x': 800, 'y': 317, 'w': 387, 'h': 387}",0.6878470182418823,"{'Woman': 0.48799379728734493, 'Man': 99.51199889183044}",Man,"{'asian': 8.898831158876419, 'indian': 12.652945518493652, 'black': 3.702404350042343, 'white': 19.59058791399002, 'middle eastern': 12.91959285736084, 'latino hispanic': 42.235636711120605}",latino hispanic,"{'angry': 28.19978892803192, 'disgust': 3.662076153432281e-06, 'fear': 0.1702655339613557, 'happy': 8.962748944759369, 'sad': 24.002236127853394, 'surprise': 0.044039482600055635, 'neutral': 38.62091302871704}",neutral,69934968.jpg
43,"{'x': 636, 'y': 449, 'w': 515, 'h': 515}",0.8666037917137146,"{'Woman': 0.00889731163624674, 'Man': 99.99110698699951}",Man,"{'asian': 99.86879824810018, 'indian': 0.005196836300983581, 'black': 2.8312347222234156e-05, 'white': 0.03517643408970142, 'middle eastern': 0.00010415694243968517, 'latino hispanic': 0.09069426991458356}",asian,"{'angry': 3.786657671730796, 'disgust': 0.00034491918521848905, 'fear': 41.673738756926205, 'happy': 0.04206978272652981, 'sad': 0.1525998282872345, 'surprise': 54.046731704863106, 'neutral': 0.29785038146670084}",surprise,3410477.jpg
24,"{'x': 1036, 'y': 352, 'w': 437, 'h': 437}",0.9336385726928711,"{'Woman': 0.3602225100621581, 'Man': 99.63977336883545}",Man,"{'asian': 31.511086225509644, 'indian': 1.2856346555054188, 'black': 0.6707021500915289, 'white': 46.53334021568298, 'middle eastern': 6.203553080558777, 'latino hispanic': 13.795682787895203}",white,"{'angry': 0.00026030982928144106, 'disgust': 7.153486122179723e-10, 'fear': 0.06826775147418696, 'happy': 99.67098232161788, 'sad': 0.23578240552930899, 'surprise': 1.1894427306596186e-06, 'neutral': 0.024705249268814834}",happy,75097527.jpg
26,"{'x': 134, 'y': 288, 'w': 674, 'h': 674}",0.9459962844848633,"{'Woman': 99.99974966049194, 'Man': 0.00024806554392853286}",Woman,"{'asian': 12.405471503734589, 'indian': 8.103172481060028, 'black': 3.844156488776207, 'white': 26.67596936225891, 'middle eastern': 15.981583297252655, 'latino hispanic': 32.9896479845047}",latino hispanic,"{'angry': 2.5325825210483e-15, 'disgust': 1.0443057282558647e-30, 'fear': 6.368932258262981e-21, 'happy': 99.98276233673096, 'sad': 1.8762866101437606e-13, 'surprise': 1.4941690463024515e-10, 'neutral': 0.017236039275303483}",happy,image_1769.jpg
34,"{'x': 649, 'y': 429, 'w': 507, 'h': 507}",0.8716191053390503,"{'Woman': 0.001130740565713495, 'Man': 99.99886751174927}",Man,"{'asian': 99.88180398236537, 'indian': 0.004914444000017285, 'black': 2.7848391209838306e-05, 'white': 0.027336923987197816, 'middle eastern': 1.2178900747727712e-05, 'latino hispanic': 0.08590463478853612}",asian,"{'angry': 0.1727725495584309, 'disgust': 0.0001470549591431336, 'fear': 0.05443813279271126, 'happy': 13.23942244052887, 'sad': 1.2693226337432861, 'surprise': 0.0021090570953674614, 'neutral': 85.2617859840393}",neutral,3391976.jpg
24,"{'x': 978, 'y': 473, 'w': 338, 'h': 338}",0.8079673647880554,"{'Woman': 0.5535644479095936, 'Man': 99.44643378257751}",Man,"{'asian': 99.9917507161797, 'indian': 3.0780666665562917e-05, 'black': 8.246202482441733e-08, 'white': 0.0063070976709094844, 'middle eastern': 8.053662697577399e-07, 'latino hispanic': 0.0019126501235358564}",asian,"{'angry': 4.2220870896669815e-11, 'disgust': 1.9667681927110875e-20, 'fear': 1.231575656209091e-12, 'happy': 99.99312162399292, 'sad': 1.4946045789887563e-08, 'surprise': 3.066258401698829e-10, 'neutral': 0.006882532761665061}",happy,68749995.jpg
32,"{'x': 509, 'y': 572, 'w': 336, 'h': 336}",0.7624626755714417,"{'Woman': 55.593377351760864, 'Man': 44.4066196680069}",Woman,"{'asian': 88.6656992832243, 'indian': 0.158732114507682, 'black': 0.0394391559754554, 'white': 7.117509521097512, 'middle eastern': 0.3321987076296632, 'latino hispanic': 3.6864189765703066}",asian,"{'angry': 1.2081505909875756e-05, 'disgust': 3.017801742584923e-14, 'fear': 0.040005442457556134, 'happy': 3.1235340984423043, 'sad': 0.0005246783814339826, 'surprise': 96.80718817625187, 'neutral': 0.028739778857033986}",surprise,12196761.jpg
32,"{'x': 778, 'y': 331, 'w': 420, 'h': 420}",0.8316262364387512,"{'Woman': 99.71931576728821, 'Man': 0.28068115934729576}",Woman,"{'asian': 0.34942866768687963, 'indian': 0.8783693425357342, 'black': 0.056917627807706594, 'white': 69.07981038093567, 'middle eastern': 18.04693341255188, 'latino hispanic': 11.58853992819786}",white,"{'angry': 0.10443518403917551, 'disgust': 2.4240790708063287e-05, 'fear': 0.060024927370250225, 'happy': 21.268820762634277, 'sad': 17.50541478395462, 'surprise': 0.006437744741560891, 'neutral': 61.05484366416931}",neutral,78032930.jpg
33,"{'x': 150, 'y': 303, 'w': 651, 'h': 651}",0.941534161567688,"{'Woman': 0.0029365204682108015, 'Man': 99.99706745147705}",Man,"{'asian': 0.08020998793654144, 'indian': 1.201397366821766, 'black': 0.04609886964317411, 'white': 30.657917261123657, 'middle eastern': 58.6807906627655, 'latino hispanic': 9.33358445763588}",middle eastern,"{'angry': 0.012269465518412919, 'disgust': 1.2914198836228875e-05, 'fear': 0.0009134119498970591, 'happy': 93.89732443674352, 'sad': 0.507357746801242, 'surprise': 0.007110665015720353, 'neutral': 5.575014983118473}",happy,image_1808.jpg
25,"{'x': 536, 'y': 496, 'w': 561, 'h': 561}",0.8194477558135986,"{'Woman': 0.07400858448818326, 'Man': 99.9259889125824}",Man,"{'asian': 99.99951124191284, 'indian': 4.305699130568996e-08, 'black': 1.0673094408275574e-05, 'white': 1.4588334806830972e-05, 'middle eastern': 6.372103539264984e-09, 'latino hispanic': 0.0004628081114788074}",asian,"{'angry': 0.0043366955651436, 'disgust': 1.0815880071000241e-18, 'fear': 5.590068852256991e-06, 'happy': 6.72498401854682e-05, 'sad': 0.027365455753169954, 'surprise': 7.250068167347079e-10, 'neutral': 99.96823072433472}",neutral,49552940.jpg
