age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_name
42,"{'x': 602, 'y': 361, 'w': 198, 'h': 302}",0.9998782873153687,"{'Woman': 99.72345232963562, 'Man': 0.2765530487522483}",Woman,"{'asian': 99.89601373672485, 'indian': 0.002131393921445124, 'black': 3.088869107159553e-05, 'white': 0.0874546414706856, 'middle eastern': 0.00013343068303584005, 'latino hispanic': 0.014245405327528715}",asian,"{'angry': 0.00034732279142385457, 'disgust': 6.108396286499428e-06, 'fear': 0.005087396796996142, 'happy': 99.98537897976512, 'sad': 0.008359159026282073, 'surprise': 7.948396581720965e-09, 'neutral': 0.00082071660816517}",happy,69408896.jpg
33,"{'x': 842, 'y': 266, 'w': 246, 'h': 284}",0.9997096657752991,"{'Woman': 3.9673760533332825, 'Man': 96.03261947631836}",Man,"{'asian': 0.1513106579592118, 'indian': 0.3278223024320367, 'black': 0.03216978022151801, 'white': 78.65649207311775, 'middle eastern': 12.095108580006192, 'latino hispanic': 8.737100212228324}",white,"{'angry': 3.498271688715916, 'disgust': 7.904792385532777e-05, 'fear': 30.172305117386884, 'happy': 0.0006900474502098857, 'sad': 58.60964409170413, 'surprise': 1.0583059561732981, 'neutral': 6.660706946891961}",sad,69934968.jpg
54,"{'x': 601, 'y': 240, 'w': 500, 'h': 750}",0.9997829794883728,"{'Woman': 0.22931145504117012, 'Man': 99.77068901062012}",Man,"{'asian': 99.60697290938931, 'indian': 0.08564342789461779, 'black': 0.00026289930449763124, 'white': 0.08206458203693223, 'middle eastern': 2.269394905149115e-05, 'latino hispanic': 0.22503350805690933}",asian,"{'angry': 4.3861313543398, 'disgust': 0.8549728940411147, 'fear': 9.248359307548958, 'happy': 0.002472989364896267, 'sad': 84.9837771048413, 'surprise': 0.0017811425247864067, 'neutral': 0.5225088758771942}",sad,3410477.jpg
29,"{'x': 1365, 'y': 272, 'w': 166, 'h': 226}",0.9999414682388306,"{'Woman': 99.99403953552246, 'Man': 0.005957884786766954}",Woman,"{'asian': 0.0007551626831803485, 'indian': 0.0010164791699644796, 'black': 1.7038315392486696e-05, 'white': 98.8034309383117, 'middle eastern': 0.6312049638533636, 'latino hispanic': 0.5635764709321891}",white,"{'angry': 0.3132500406801725, 'disgust': 0.005755598956237858, 'fear': 2.2550982835947444, 'happy': 84.29958130714782, 'sad': 1.014031995924234, 'surprise': 0.019211093293977875, 'neutral': 12.093073105399197}",happy,44989956.jpg
27,"{'x': 420, 'y': 147, 'w': 251, 'h': 340}",0.9971177577972412,"{'Woman': 47.15566039085388, 'Man': 52.84433960914612}",Man,"{'asian': 1.8363723531365395, 'indian': 0.07422150229103863, 'black': 0.015883927699178457, 'white': 93.66899132728577, 'middle eastern': 1.9202886149287224, 'latino hispanic': 2.4842455983161926}",white,"{'angry': 0.09615866001695395, 'disgust': 0.0009994523679779377, 'fear': 12.256784737110138, 'happy': 0.008031603647395968, 'sad': 0.008040722605073825, 'surprise': 17.99558699131012, 'neutral': 69.63439583778381}",neutral,79053495.jpg
28,"{'x': 1023, 'y': 427, 'w': 330, 'h': 379}",0.9986385703086853,"{'Woman': 53.540557622909546, 'Man': 46.459439396858215}",Woman,"{'asian': 41.80838563342266, 'indian': 1.59083734859975, 'black': 0.49165700289225545, 'white': 41.61686997212529, 'middle eastern': 7.979837598820019, 'latino hispanic': 6.512409417342017}",asian,"{'angry': 15.81868827342987, 'disgust': 0.012975867139175534, 'fear': 72.92518615722656, 'happy': 0.010043415386462584, 'sad': 1.9528292119503021, 'surprise': 0.00038631787901977077, 'neutral': 9.279894828796387}",fear,3787201.jpg
36,"{'x': 1000, 'y': 227, 'w': 415, 'h': 578}",0.9989830851554871,"{'Woman': 99.9987244606018, 'Man': 0.0012792329471267294}",Woman,"{'asian': 34.86246674433152, 'indian': 4.805293220597101, 'black': 0.7868539079638665, 'white': 25.38209708822352, 'middle eastern': 7.194086593037045, 'latino hispanic': 26.96920794065046}",asian,"{'angry': 1.7080659086577856e-09, 'disgust': 2.1850845722643305e-15, 'fear': 1.4571060071469722e-10, 'happy': 99.97303485709637, 'sad': 2.4734153978195097e-07, 'surprise': 1.2302796182363342e-07, 'neutral': 0.026967654564352607}",happy,75097527.jpg
31,"{'x': 955, 'y': 388, 'w': 156, 'h': 234}",0.999937891960144,"{'Woman': 99.88407492637634, 'Man': 0.11592175578698516}",Woman,"{'asian': 5.439684264101474, 'indian': 4.6942004925965675, 'black': 0.10214281447764463, 'white': 59.455983703615225, 'middle eastern': 9.466048691743769, 'latino hispanic': 20.841931302317224}",white,"{'angry': 0.2518128836527467, 'disgust': 0.021925076725892723, 'fear': 1.3878850266337395, 'happy': 68.93389225006104, 'sad': 13.967791199684143, 'surprise': 0.8543331176042557, 'neutral': 14.58236575126648}",happy,31391762.jpg
31,"{'x': 189, 'y': 143, 'w': 578, 'h': 810}",0.9999741315841675,"{'Woman': 99.99984502792358, 'Man': 0.00015864993656578008}",Woman,"{'asian': 4.457363751969561, 'indian': 4.6808975744782435, 'black': 1.2858105658477883, 'white': 29.2303639191606, 'middle eastern': 12.926439221289112, 'latino hispanic': 47.419127668090326}",latino hispanic,"{'angry': 8.577144520771294e-21, 'disgust': 0.0, 'fear': 1.0380892400518447e-25, 'happy': 100.0, 'sad': 2.708122892555667e-17, 'surprise': 2.4605385545890812e-11, 'neutral': 2.8441831112502314e-07}",happy,image_1769.jpg
25,"{'x': 539, 'y': 110, 'w': 218, 'h': 306}",0.9999891519546509,"{'Woman': 0.012430190690793097, 'Man': 99.98756647109985}",Man,"{'asian': 0.35822868812829256, 'indian': 1.1388822458684444, 'black': 97.46868014335632, 'white': 0.022260831610765308, 'middle eastern': 0.007958765490911901, 'latino hispanic': 1.0039899498224258}",black,"{'angry': 0.02256465086247772, 'disgust': 2.6793226925309055e-11, 'fear': 2.8316114253357227e-05, 'happy': 1.0548080317676067, 'sad': 0.15719387447461486, 'surprise': 3.943577908671614e-07, 'neutral': 98.76540303230286}",neutral,56212495.jpg
