age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_name
43,"{'x': 561, 'y': 391, 'w': 246, 'h': 246}",7.403668046637904,"{'Woman': 86.53132319450378, 'Man': 13.468678295612335}",Woman,"{'asian': 99.99867081618383, 'indian': 8.601505758065144e-06, 'black': 1.214583928568696e-08, 'white': 0.0012470214143599026, 'middle eastern': 7.582705820219645e-08, 'latino hispanic': 7.745808509651324e-05}",asian,"{'angry': 8.976170420646667, 'disgust': 0.0008650196832604706, 'fear': 7.064299285411835, 'happy': 9.394947439432144, 'sad': 3.6282766610383987, 'surprise': 0.0007383265710814158, 'neutral': 70.93470096588135}",neutral,69408896.jpg
35,"{'x': 817, 'y': 269, 'w': 295, 'h': 295}",5.20959307445446,"{'Woman': 2.120307832956314, 'Man': 97.87969589233398}",Man,"{'asian': 0.5983351729810238, 'indian': 2.433221973478794, 'black': 0.32412155997008085, 'white': 50.73442459106445, 'middle eastern': 25.05413293838501, 'latino hispanic': 20.855768024921417}",white,"{'angry': 6.199536469551115, 'disgust': 4.442937873748066e-05, 'fear': 57.184699605983475, 'happy': 0.00015542557110708932, 'sad': 26.600436961676895, 'surprise': 0.009783945134768718, 'neutral': 10.005344301780719}",fear,69934968.jpg
50,"{'x': 509, 'y': 277, 'w': 678, 'h': 678}",5.62513111619046,"{'Woman': 0.02419071679469198, 'Man': 99.97580647468567}",Man,"{'asian': 99.69878194920909, 'indian': 0.04900817003708601, 'black': 7.712621259501563e-05, 'white': 0.04517800385727756, 'middle eastern': 1.2863356658283867e-05, 'latino hispanic': 0.20694161136100359}",asian,"{'angry': 0.6288952943855874, 'disgust': 0.001166061568108509, 'fear': 3.215963031764392, 'happy': 0.00015772111116604855, 'sad': 94.77416214634921, 'surprise': 4.4658886716687996e-05, 'neutral': 1.3796162573535748}",sad,3410477.jpg
34,"{'x': 1337, 'y': 287, 'w': 208, 'h': 208}",7.214616225275677,"{'Woman': 99.76479411125183, 'Man': 0.23520400281995535}",Woman,"{'asian': 2.4788423047539254e-05, 'indian': 4.387134993066866e-05, 'black': 2.852814429132877e-07, 'white': 99.30673837661743, 'middle eastern': 0.3042603377252817, 'latino hispanic': 0.3889319486916065}",white,"{'angry': 0.39056199602782726, 'disgust': 0.00027604453407548135, 'fear': 3.0896320939064026, 'happy': 21.38642519712448, 'sad': 1.5576682053506374, 'surprise': 0.942998006939888, 'neutral': 72.63243794441223}",neutral,44989956.jpg
33,"{'x': 1482, 'y': 561, 'w': 84, 'h': 84}",2.7899250808986835,"{'Woman': 6.954202055931091, 'Man': 93.04579496383667}",Man,"{'asian': 8.768941462039948, 'indian': 0.08830164442770183, 'black': 0.030588958179578185, 'white': 85.18401980400085, 'middle eastern': 3.248182311654091, 'latino hispanic': 2.6799598708748817}",white,"{'angry': 2.6844269189921715, 'disgust': 1.0336991314390264e-09, 'fear': 17.47706175123909, 'happy': 2.7125068022235687e-05, 'sad': 78.4558441095538, 'surprise': 0.0007781199183321097, 'neutral': 1.381855013894437}",sad,44989956.jpg
25,"{'x': 370, 'y': 135, 'w': 384, 'h': 384}",2.260958143218886,"{'Woman': 99.47473406791687, 'Man': 0.5252591334283352}",Woman,"{'asian': 0.0077253629569895566, 'indian': 2.498163009789778e-07, 'black': 3.351904170889597e-09, 'white': 99.99032020568848, 'middle eastern': 0.0010369030860601924, 'latino hispanic': 0.0009149948709819}",white,"{'angry': 0.011593128110477887, 'disgust': 0.0005490096427637545, 'fear': 37.47816607225931, 'happy': 0.0004146106922889215, 'sad': 0.021578199643180498, 'surprise': 32.153501042932334, 'neutral': 30.334200282943264}",fear,79053495.jpg
35,"{'x': 908, 'y': 246, 'w': 529, 'h': 529}",6.041647088422906,"{'Woman': 99.84758496284485, 'Man': 0.15241963556036353}",Woman,"{'asian': 90.94327796181703, 'indian': 0.3196803704657709, 'black': 0.006922314689907915, 'white': 4.782447766369848, 'middle eastern': 0.07174195797837281, 'latino hispanic': 3.8759320079169264}",asian,"{'angry': 6.081802091400261e-11, 'disgust': 8.912628647188001e-18, 'fear': 4.872434076206239e-13, 'happy': 99.94568824444343, 'sad': 2.2271975869922578e-08, 'surprise': 5.808413208004747e-07, 'neutral': 0.05431460191135716}",happy,75097527.jpg
34,"{'x': 400, 'y': 534, 'w': 72, 'h': 72}",0.3648441258701496,"{'Woman': 22.90761172771454, 'Man': 77.0923912525177}",Man,"{'asian': 5.203621461987495, 'indian': 5.674923956394196, 'black': 12.489160895347595, 'white': 42.713093757629395, 'middle eastern': 20.99510133266449, 'latino hispanic': 12.92409896850586}",white,"{'angry': 1.7905212143374214, 'disgust': 0.013860438146691807, 'fear': 26.90935891326421, 'happy': 0.20796101382887447, 'sad': 16.688939433630672, 'surprise': 0.017482279095673806, 'neutral': 54.37187876533739}",neutral,31391762.jpg
25,"{'x': 137, 'y': 192, 'w': 726, 'h': 726}",7.31606202776311,"{'Woman': 99.99994039535522, 'Man': 5.442166184366215e-05}",Woman,"{'asian': 3.50777767598629, 'indian': 3.2640114426612854, 'black': 0.9730972349643707, 'white': 33.70402455329895, 'middle eastern': 12.643459439277649, 'latino hispanic': 45.907628536224365}",latino hispanic,"{'angry': 2.7312941905100967e-20, 'disgust': 0.0, 'fear': 3.532094658619948e-25, 'happy': 99.99916553497314, 'sad': 3.0083027301950686e-18, 'surprise': 8.643605275970856e-09, 'neutral': 0.0008360242645721883}",happy,image_1769.jpg
25,"{'x': 507, 'y': 134, 'w': 261, 'h': 261}",8.323029035527725,"{'Woman': 0.0008335373422596604, 'Man': 99.99916553497314}",Man,"{'asian': 0.21689587481071057, 'indian': 0.9367408976863745, 'black': 98.40549845629948, 'white': 0.0008594820313610137, 'middle eastern': 0.0003994939539893753, 'latino hispanic': 0.4396053904020321}",black,"{'angry': 0.026715459809246337, 'disgust': 2.7879565589072133e-11, 'fear': 0.01646177602895287, 'happy': 0.10202985774709078, 'sad': 0.056928013019995456, 'surprise': 0.0004923665206074153, 'neutral': 99.79737398593116}",neutral,56212495.jpg
