age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_name
37,"{'x': 607, 'y': 358, 'w': 208, 'h': 323}",0.9986671209335327,"{'Woman': 98.1123149394989, 'Man': 1.887686550617218}",Woman,"{'asian': 99.98921751911745, 'indian': 0.0002268338583833463, 'black': 3.321020812014849e-06, 'white': 0.00931792948054847, 'middle eastern': 1.6984430874883094e-05, 'latino hispanic': 0.0012180539486747726}",asian,"{'angry': 1.4031603434716544e-06, 'disgust': 5.177862804316147e-11, 'fear': 0.00021823186671099393, 'happy': 99.99706745147705, 'sad': 0.00013090721040498465, 'surprise': 8.721509625608803e-08, 'neutral': 0.0025832508981693536}",happy,69408896.jpg
33,"{'x': 853, 'y': 255, 'w': 240, 'h': 298}",0.9996763467788696,"{'Woman': 9.947749972343445, 'Man': 90.0522530078888}",Man,"{'asian': 0.08061724162568053, 'indian': 0.20557001821041324, 'black': 0.016186321337566832, 'white': 89.76456400925684, 'middle eastern': 6.15886113451256, 'latino hispanic': 3.774201202297354}",white,"{'angry': 5.9945094873624125, 'disgust': 0.02093433078321769, 'fear': 46.362447088202316, 'happy': 0.0007419107949914156, 'sad': 22.502445728024078, 'surprise': 23.921887383798488, 'neutral': 1.197043182172152}",fear,69934968.jpg
55,"{'x': 611, 'y': 272, 'w': 508, 'h': 726}",0.9989408850669861,"{'Woman': 0.18167911330237985, 'Man': 99.81831908226013}",Man,"{'asian': 96.13997317194779, 'indian': 1.1972225053443017, 'black': 0.010742436192246076, 'white': 0.6847793644535163, 'middle eastern': 0.0029288752484233267, 'latino hispanic': 1.9643540733667655}",asian,"{'angry': 0.6559399347567519, 'disgust': 7.710245204451557e-05, 'fear': 1.2126236945464428, 'happy': 7.843025186048634e-05, 'sad': 97.41488679736177, 'surprise': 9.481618722429507e-07, 'neutral': 0.7163970226882114}",sad,3410477.jpg
30,"{'x': 1363, 'y': 270, 'w': 169, 'h': 224}",0.9996336698532104,"{'Woman': 99.99078512191772, 'Man': 0.009218234481522813}",Woman,"{'asian': 0.0016482057471570227, 'indian': 0.0016593912573628306, 'black': 2.9321392304870158e-05, 'white': 98.67267624465511, 'middle eastern': 0.6924821169695715, 'latino hispanic': 0.6315080161830168}",white,"{'angry': 0.3051016014069319, 'disgust': 0.001431377404514933, 'fear': 1.4260990545153618, 'happy': 43.51373016834259, 'sad': 5.169816687703133, 'surprise': 0.005344030068954453, 'neutral': 49.578478932380676}",neutral,44989956.jpg
26,"{'x': 409, 'y': 126, 'w': 284, 'h': 394}",0.9995942711830139,"{'Woman': 94.0017580986023, 'Man': 5.9982407838106155}",Woman,"{'asian': 2.071983925998211, 'indian': 0.017310921975877136, 'black': 0.003487535286694765, 'white': 95.5897867679596, 'middle eastern': 1.0414340533316135, 'latino hispanic': 1.2759903445839882}",white,"{'angry': 0.10452658170834184, 'disgust': 0.0030831073672743514, 'fear': 39.35436308383942, 'happy': 0.003841199941234663, 'sad': 1.5720130875706673, 'surprise': 9.221100807189941, 'neutral': 49.741071462631226}",neutral,79053495.jpg
31,"{'x': 1039, 'y': 421, 'w': 326, 'h': 406}",0.9997265934944153,"{'Woman': 31.929078698158264, 'Man': 68.07092428207397}",Man,"{'asian': 46.130478382110596, 'indian': 3.788081184029579, 'black': 0.9797733277082443, 'white': 31.46401345729828, 'middle eastern': 9.012078493833542, 'latino hispanic': 8.625578135251999}",asian,"{'angry': 42.270371317863464, 'disgust': 0.14541354030370712, 'fear': 54.11958694458008, 'happy': 0.16604246338829398, 'sad': 0.04576897481456399, 'surprise': 0.08370018913410604, 'neutral': 3.1691133975982666}",fear,3787201.jpg
35,"{'x': 1010, 'y': 209, 'w': 428, 'h': 608}",0.9992522597312927,"{'Woman': 99.99535083770752, 'Man': 0.004649284164770506}",Woman,"{'asian': 16.690737009048462, 'indian': 8.871936798095703, 'black': 0.996630359441042, 'white': 24.432213604450226, 'middle eastern': 13.672630488872528, 'latino hispanic': 35.335856676101685}",latino hispanic,"{'angry': 3.585688546347624e-11, 'disgust': 4.961288407493391e-18, 'fear': 6.884300923210631e-13, 'happy': 99.99986290930885, 'sad': 5.213289312618151e-10, 'surprise': 1.7208915982839126e-11, 'neutral': 0.00013814436356681563}",happy,75097527.jpg
29,"{'x': 948, 'y': 376, 'w': 162, 'h': 250}",0.9995972514152527,"{'Woman': 99.98570680618286, 'Man': 0.014294983702711761}",Woman,"{'asian': 12.246835976839066, 'indian': 7.287020236253738, 'black': 0.1494190189987421, 'white': 45.16043663024902, 'middle eastern': 9.002912789583206, 'latino hispanic': 26.15337371826172}",white,"{'angry': 0.0001780503680492984, 'disgust': 1.6541697789307364e-06, 'fear': 44.18154954910278, 'happy': 49.44450855255127, 'sad': 0.016876701556611806, 'surprise': 5.391442775726318, 'neutral': 0.9654446505010128}",happy,31391762.jpg
31,"{'x': 188, 'y': 146, 'w': 591, 'h': 810}",0.9996131062507629,"{'Woman': 99.9998688697815, 'Man': 0.0001274780970561551}",Woman,"{'asian': 3.8466691970825195, 'indian': 3.425019606947899, 'black': 0.87843406945467, 'white': 35.620349645614624, 'middle eastern': 12.134401500225067, 'latino hispanic': 44.095125794410706}",latino hispanic,"{'angry': 1.9648733563898113e-18, 'disgust': 7.840951544144871e-36, 'fear': 1.5284848105236213e-23, 'happy': 100.0, 'sad': 5.509428198103315e-17, 'surprise': 3.019101028206572e-10, 'neutral': 1.7949204789147188e-06}",happy,image_1769.jpg
26,"{'x': 546, 'y': 122, 'w': 212, 'h': 291}",0.9994680285453796,"{'Woman': 0.009807901369640604, 'Man': 99.99018907546997}",Man,"{'asian': 0.3806220146644694, 'indian': 0.5505366525904354, 'black': 98.53791015888332, 'white': 0.009921995205790375, 'middle eastern': 0.0027384602081515766, 'latino hispanic': 0.5182638146562797}",black,"{'angry': 0.002231136204500217, 'disgust': 4.053270577248497e-11, 'fear': 2.194649262321491e-06, 'happy': 67.25501418113708, 'sad': 0.011564306623768061, 'surprise': 1.4031355988208816e-05, 'neutral': 32.731181383132935}",happy,56212495.jpg
