age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_name
38,"{'x': 604, 'y': 360, 'w': 195, 'h': 320}",0.996665894985199,"{'Woman': 99.04954433441162, 'Man': 0.9504589252173901}",Woman,"{'asian': 99.99479651420096, 'indian': 1.0711480696943543e-05, 'black': 7.510572611858276e-08, 'white': 0.005066793102794102, 'middle eastern': 2.8926610388097594e-06, 'latino hispanic': 0.00012569456270059058}",asian,"{'angry': 8.535746840742563e-06, 'disgust': 1.0213772914467153e-12, 'fear': 6.488718838193951e-08, 'happy': 99.99988675116818, 'sad': 5.96650870968107e-06, 'surprise': 1.860261361477124e-09, 'neutral': 0.0001007309325373193}",happy,69408896.jpg
32,"{'x': 846, 'y': 248, 'w': 254, 'h': 302}",0.9753504395484924,"{'Woman': 6.27722293138504, 'Man': 93.7227725982666}",Man,"{'asian': 0.02972654120065526, 'indian': 0.12141986233951302, 'black': 0.006321562951980105, 'white': 93.63198952293521, 'middle eastern': 4.329102342831809, 'latino hispanic': 1.8814334265669075}",white,"{'angry': 0.49317175231316657, 'disgust': 0.005665185069531492, 'fear': 90.84378590061833, 'happy': 0.005061833632258042, 'sad': 6.978996756196409, 'surprise': 0.12437796367297009, 'neutral': 1.5489365921692142}",fear,69934968.jpg
52,"{'x': 626, 'y': 240, 'w': 484, 'h': 733}",0.9995716214179993,"{'Woman': 0.19820553716272116, 'Man': 99.80179071426392}",Man,"{'asian': 96.29008218168232, 'indian': 0.9657052125686154, 'black': 0.02429919115007253, 'white': 0.5358381489410223, 'middle eastern': 0.0027749978801470915, 'latino hispanic': 2.181297839427252}",asian,"{'angry': 0.7001642089434986, 'disgust': 0.015714972168913315, 'fear': 1.4758283220725252, 'happy': 0.0021565175678274822, 'sad': 96.61054591003334, 'surprise': 7.170086463382892e-06, 'neutral': 1.1955873822025884}",sad,3410477.jpg
28,"{'x': 1360, 'y': 271, 'w': 166, 'h': 231}",0.989656925201416,"{'Woman': 99.99775886535645, 'Man': 0.0022381926100933924}",Woman,"{'asian': 1.0134239296719448e-05, 'indian': 9.732387565301679e-06, 'black': 5.2266333268077725e-08, 'white': 99.84144567498241, 'middle eastern': 0.09439082913195068, 'latino hispanic': 0.06414722684344511}",white,"{'angry': 0.19007297295207107, 'disgust': 0.0006905784261875893, 'fear': 0.09212425277391043, 'happy': 83.73211220120047, 'sad': 0.30074844742584855, 'surprise': 0.11518420442605562, 'neutral': 15.569068125597463}",happy,44989956.jpg
26,"{'x': 400, 'y': 115, 'w': 300, 'h': 414}",0.9860531091690063,"{'Woman': 95.76804041862488, 'Man': 4.2319655418396}",Woman,"{'asian': 0.813347943228238, 'indian': 0.00993469120854556, 'black': 0.0008174045498334173, 'white': 96.51927310458102, 'middle eastern': 1.8102355596703958, 'latino hispanic': 0.846390620188787}",white,"{'angry': 0.9138387241267397, 'disgust': 0.0010586186084561896, 'fear': 49.72895084196036, 'happy': 0.007423361681956004, 'sad': 6.6110681957643145, 'surprise': 0.6914271919534917, 'neutral': 42.04623949803349}",fear,79053495.jpg
36,"{'x': 1033, 'y': 400, 'w': 340, 'h': 425}",0.9829977750778198,"{'Woman': 25.372841954231262, 'Man': 74.6271550655365}",Man,"{'asian': 28.221022698757327, 'indian': 3.820996648550433, 'black': 2.101795683587112, 'white': 40.71972480777206, 'middle eastern': 14.290967370156363, 'latino hispanic': 10.845482546629603}",white,"{'angry': 88.26722362842841, 'disgust': 6.293078808854648e-07, 'fear': 0.0061698891010562, 'happy': 7.468051608568621, 'sad': 0.011282165977514576, 'surprise': 2.6461570314150727e-06, 'neutral': 4.247274011048557}",angry,3787201.jpg
37,"{'x': 993, 'y': 191, 'w': 433, 'h': 622}",0.9992876648902893,"{'Woman': 99.99814033508301, 'Man': 0.0018593053027871065}",Woman,"{'asian': 20.599607598734806, 'indian': 6.67789583538721, 'black': 0.8655225958553071, 'white': 24.643120127096193, 'middle eastern': 12.339119593992185, 'latino hispanic': 34.874744400351574}",latino hispanic,"{'angry': 3.239215784489602e-07, 'disgust': 1.3544697395262623e-14, 'fear': 2.3527171530424162e-09, 'happy': 99.99971389770508, 'sad': 6.183122014391529e-07, 'surprise': 1.5041945120031208e-09, 'neutral': 0.00028322074285824783}",happy,75097527.jpg
29,"{'x': 940, 'y': 386, 'w': 160, 'h': 240}",0.9766346216201782,"{'Woman': 99.92367029190063, 'Man': 0.0763296673540026}",Woman,"{'asian': 53.32107861763708, 'indian': 4.1721353931507705, 'black': 0.5021068101141936, 'white': 23.70800666260759, 'middle eastern': 8.061570409629965, 'latino hispanic': 10.23510010451675}",asian,"{'angry': 3.851616625638599e-06, 'disgust': 3.268663811839545e-09, 'fear': 0.0017025258784997277, 'happy': 99.72948431968689, 'sad': 0.0013523560483008623, 'surprise': 0.0006327983555820538, 'neutral': 0.2668265486136079}",happy,31391762.jpg
51,"{'x': 662, 'y': 253, 'w': 471, 'h': 687}",0.9999356269836426,"{'Woman': 0.12866136385127902, 'Man': 99.87133741378784}",Man,"{'asian': 92.7401776754962, 'indian': 1.6212123481161802, 'black': 0.07207074515756935, 'white': 0.8856787874209158, 'middle eastern': 0.014153004419796432, 'latino hispanic': 4.666716511053831}",asian,"{'angry': 8.535998587131331, 'disgust': 7.170486559925862, 'fear': 12.468795474624095, 'happy': 50.432175449392254, 'sad': 10.243280707988824, 'surprise': 0.0030169127016349937, 'neutral': 11.146250950843209}",happy,3391976.jpg
28,"{'x': 980, 'y': 408, 'w': 340, 'h': 405}",0.9990955591201782,"{'Woman': 46.632564067840576, 'Man': 53.367435932159424}",Man,"{'asian': 49.49333667755127, 'indian': 8.060219883918762, 'black': 2.788100019097328, 'white': 17.072832584381104, 'middle eastern': 5.736706405878067, 'latino hispanic': 16.848808526992798}",asian,"{'angry': 50.76877777390347, 'disgust': 1.2430664528124935e-05, 'fear': 0.24714471382765257, 'happy': 46.9065604750252, 'sad': 1.7207891774647939, 'surprise': 1.2808529223532123e-06, 'neutral': 0.35671849998643995}",angry,68749995.jpg
