age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_name
46,"{'x': 606, 'y': 371, 'w': 209, 'h': 290}",0.92,"{'Woman': 97.23483920097351, 'Man': 2.765160985291004}",Woman,"{'asian': 97.79119491577148, 'indian': 0.0035333952837390825, 'black': 0.0007374210781563306, 'white': 2.105596475303173, 'middle eastern': 0.017771169950719923, 'latino hispanic': 0.08116596727631986}",asian,"{'angry': 0.0013237456187198404, 'disgust': 2.2708085954149804e-11, 'fear': 0.00020102672806388, 'happy': 99.99769926071167, 'sad': 5.811680239276029e-05, 'surprise': 4.644716555812778e-09, 'neutral': 0.0007159995675465325}",happy,69408896.jpg
33,"{'x': 837, 'y': 250, 'w': 256, 'h': 290}",0.91,"{'Woman': 6.368383765220642, 'Man': 93.63161325454712}",Man,"{'asian': 0.01827056475554806, 'indian': 0.06282708658079345, 'black': 0.0026763345438598858, 'white': 94.51637798742986, 'middle eastern': 3.5212249036103374, 'latino hispanic': 1.8786264960320587}",white,"{'angry': 0.6653331685811281, 'disgust': 2.8077695723993656e-07, 'fear': 3.5114724189043045, 'happy': 0.007067826663842425, 'sad': 5.1002394407987595, 'surprise': 0.024613633286207914, 'neutral': 90.69127440452576}",neutral,69934968.jpg
56,"{'x': 634, 'y': 259, 'w': 471, 'h': 718}",0.93,"{'Woman': 0.24547635111957788, 'Man': 99.75451827049255}",Man,"{'asian': 99.85723495483398, 'indian': 0.024932625819928944, 'black': 9.969683389954298e-06, 'white': 0.03773538628593087, 'middle eastern': 1.6180964124146158e-06, 'latino hispanic': 0.0800836889538914}",asian,"{'angry': 6.631223066899411, 'disgust': 1.625874258473604, 'fear': 32.10618411228846, 'happy': 0.18834106241571158, 'sad': 58.491282642926855, 'surprise': 0.017569244025402483, 'neutral': 0.939518287537302}",sad,3410477.jpg
28,"{'x': 1371, 'y': 278, 'w': 159, 'h': 218}",0.92,"{'Woman': 99.91328120231628, 'Man': 0.08672510739415884}",Woman,"{'asian': 0.00021383971215982456, 'indian': 0.00029405823624983896, 'black': 5.2479517620440674e-06, 'white': 99.31942224502563, 'middle eastern': 0.3442654851824045, 'latino hispanic': 0.3357985056936741}",white,"{'angry': 0.3172056007209778, 'disgust': 0.000938450613377699, 'fear': 0.33723187780272235, 'happy': 91.04510492355257, 'sad': 0.1054052209909392, 'surprise': 0.0019479724211690342, 'neutral': 8.192166429291154}",happy,44989956.jpg
26,"{'x': 406, 'y': 118, 'w': 293, 'h': 400}",0.91,"{'Woman': 94.33177709579468, 'Man': 5.6682247668504715}",Woman,"{'asian': 0.5067747551947832, 'indian': 0.005307945684762672, 'black': 0.0006086474513722351, 'white': 97.80318140983582, 'middle eastern': 0.9864115156233311, 'latino hispanic': 0.6977227050811052}",white,"{'angry': 8.663505087107723, 'disgust': 0.00018770198248715782, 'fear': 3.213281748490438, 'happy': 0.0008471004143899088, 'sad': 0.793572655682126, 'surprise': 0.11370373636208393, 'neutral': 87.21490426152374}",neutral,79053495.jpg
35,"{'x': 1003, 'y': 209, 'w': 437, 'h': 596}",0.93,"{'Woman': 99.98902082443237, 'Man': 0.010981519153574482}",Woman,"{'asian': 18.14814805984497, 'indian': 6.974691152572632, 'black': 1.1453638784587383, 'white': 24.426057934761047, 'middle eastern': 10.924403369426727, 'latino hispanic': 38.3813351392746}",latino hispanic,"{'angry': 1.2715354860859858e-05, 'disgust': 2.1698291159575485e-10, 'fear': 2.5899019584988445e-06, 'happy': 99.9893367284141, 'sad': 7.865248832519634e-06, 'surprise': 2.607295228582825e-05, 'neutral': 0.01061723659932906}",happy,75097527.jpg
30,"{'x': 950, 'y': 387, 'w': 162, 'h': 234}",0.91,"{'Woman': 99.96625185012817, 'Man': 0.033748967689462006}",Woman,"{'asian': 4.37571257352829, 'indian': 0.9412690065801144, 'black': 0.052070990204811096, 'white': 82.08383321762085, 'middle eastern': 5.538215488195419, 'latino hispanic': 7.008901983499527}",white,"{'angry': 0.15819277614355087, 'disgust': 0.0011884009836649057, 'fear': 39.766451716423035, 'happy': 44.05498206615448, 'sad': 2.6489010080695152, 'surprise': 3.8966502994298935, 'neutral': 9.473638981580734}",happy,31391762.jpg
39,"{'x': 144, 'y': 230, 'w': 630, 'h': 742}",0.92,"{'Woman': 99.99995231628418, 'Man': 4.619068647571112e-05}",Woman,"{'asian': 7.401196795844649, 'indian': 5.8201360935135, 'black': 1.3155633289293442, 'white': 34.667987783907385, 'middle eastern': 18.543726926294198, 'latino hispanic': 32.25139167921444}",white,"{'angry': 6.895324372840816e-20, 'disgust': 0.0, 'fear': 2.741164688341082e-24, 'happy': 100.0, 'sad': 1.5376660998046776e-16, 'surprise': 3.31274894668776e-10, 'neutral': 2.3592588993537333e-08}",happy,image_1769.jpg
25,"{'x': 546, 'y': 106, 'w': 209, 'h': 303}",0.93,"{'Woman': 0.00642867962596938, 'Man': 99.99357461929321}",Man,"{'asian': 0.13992872224695815, 'indian': 0.47296237225606275, 'black': 98.85926835890224, 'white': 0.006970872033746737, 'middle eastern': 0.0024589436735817185, 'latino hispanic': 0.5184083089028781}",black,"{'angry': 0.026703749745190127, 'disgust': 2.996448262699523e-13, 'fear': 4.088737414767361e-05, 'happy': 0.2583749047815743, 'sad': 0.03666506891284549, 'surprise': 1.912648820084408e-06, 'neutral': 99.67821238507106}",neutral,56212495.jpg
44,"{'x': 653, 'y': 281, 'w': 475, 'h': 656}",0.94,"{'Woman': 0.058315449859946966, 'Man': 99.94168281555176}",Man,"{'asian': 98.83474707603455, 'indian': 0.3285665065050125, 'black': 0.0008963361324276775, 'white': 0.11777702020481229, 'middle eastern': 8.90479725512705e-05, 'latino hispanic': 0.7179256062954664}",asian,"{'angry': 4.0026940405368805, 'disgust': 0.4370397422462702, 'fear': 20.344482362270355, 'happy': 56.093770265579224, 'sad': 16.48436188697815, 'surprise': 0.11603583116084337, 'neutral': 2.5216199457645416}",happy,3391976.jpg
24,"{'x': 981, 'y': 440, 'w': 331, 'h': 381}",0.94,"{'Woman': 1.3313616625964642, 'Man': 98.66863489151001}",Man,"{'asian': 99.99992251395717, 'indian': 1.6634358882606051e-06, 'black': 6.129508074035294e-11, 'white': 3.3494619920114396e-05, 'middle eastern': 1.5497030581488317e-10, 'latino hispanic': 4.2776340754599245e-05}",asian,"{'angry': 4.062956568406939e-11, 'disgust': 5.970306529762539e-19, 'fear': 1.156169733925903e-12, 'happy': 99.99933242797852, 'sad': 2.341286073435228e-11, 'surprise': 3.1041655357277875e-09, 'neutral': 0.0006680562364635989}",happy,68749995.jpg
33,"{'x': 1134, 'y': 453, 'w': 231, 'h': 284}",0.94,"{'Woman': 99.36914443969727, 'Man': 0.6308544892817736}",Woman,"{'asian': 83.59622955322266, 'indian': 3.7745576351881027, 'black': 0.5056595429778099, 'white': 1.945948600769043, 'middle eastern': 0.25445781648159027, 'latino hispanic': 9.923146665096283}",asian,"{'angry': 0.0007491402811865555, 'disgust': 8.462522674800022e-11, 'fear': 0.011299051402602345, 'happy': 99.78731870651245, 'sad': 2.0935452482717665e-05, 'surprise': 0.18153133569285274, 'neutral': 0.019077853357885033}",happy,13984942.jpg
33,"{'x': 712, 'y': 390, 'w': 140, 'h': 178}",0.93,"{'Woman': 0.04371943650767207, 'Man': 99.95627999305725}",Man,"{'asian': 44.17388737201691, 'indian': 14.407356083393097, 'black': 5.623966082930565, 'white': 8.46799612045288, 'middle eastern': 5.58432899415493, 'latino hispanic': 21.74246460199356}",asian,"{'angry': 0.34394294210928333, 'disgust': 2.3386263565173222e-05, 'fear': 49.49916896219069, 'happy': 0.00016558890215677302, 'sad': 50.01814067471866, 'surprise': 0.0007791768903772543, 'neutral': 0.13777687802698482}",sad,50874128.jpg
39,"{'x': 531, 'y': 503, 'w': 328, 'h': 381}",0.93,"{'Woman': 95.731121301651, 'Man': 4.268880560994148}",Woman,"{'asian': 99.99783635126569, 'indian': 2.626393126318635e-06, 'black': 1.4676313817495012e-08, 'white': 0.0018777874384456278, 'middle eastern': 1.5370747369581568e-06, 'latino hispanic': 0.0002831967945527005}",asian,"{'angry': 2.699125496922868e-09, 'disgust': 9.901096642072868e-15, 'fear': 6.304785914489094e-05, 'happy': 99.98037219281528, 'sad': 1.0112498432167382e-05, 'surprise': 5.61826074190624e-07, 'neutral': 0.019546624969720844}",happy,12196761.jpg
43,"{'x': 790, 'y': 221, 'w': 406, 'h': 534}",0.94,"{'Woman': 99.99340772628784, 'Man': 0.006589441909454763}",Woman,"{'asian': 5.213946104049683, 'indian': 1.5504948794841766, 'black': 0.5830645095556974, 'white': 61.87785863876343, 'middle eastern': 12.803491950035095, 'latino hispanic': 17.97114610671997}",white,"{'angry': 0.02718377671182315, 'disgust': 0.005313224344906731, 'fear': 0.06602978494568378, 'happy': 88.8606243646517, 'sad': 1.0599405205214334, 'surprise': 0.021933413370268842, 'neutral': 9.958976355730078}",happy,78032930.jpg
38,"{'x': 198, 'y': 206, 'w': 545, 'h': 769}",0.93,"{'Woman': 0.07293965900316834, 'Man': 99.92706179618835}",Man,"{'asian': 0.04629830364137888, 'indian': 1.4767861925065517, 'black': 0.06148346001282334, 'white': 35.3550910949707, 'middle eastern': 52.95776724815369, 'latino hispanic': 10.102575272321701}",middle eastern,"{'angry': 0.1603139722531769, 'disgust': 3.0269125461532156e-05, 'fear': 0.06401282554153198, 'happy': 94.45532030399795, 'sad': 0.16381033140446766, 'surprise': 0.10090877728879126, 'neutral': 5.055594959188109}",happy,image_1808.jpg
44,"{'x': 884, 'y': 390, 'w': 181, 'h': 253}",0.91,"{'Woman': 99.87473487854004, 'Man': 0.1252674963325262}",Woman,"{'asian': 93.60625820085309, 'indian': 0.4672657607029962, 'black': 0.04050768428949305, 'white': 2.2073992690564075, 'middle eastern': 0.05321995070003561, 'latino hispanic': 3.6253485232176157}",asian,"{'angry': 10.434664287011111, 'disgust': 1.4353937197661334e-12, 'fear': 2.5066858894603383, 'happy': 0.14489868791119004, 'sad': 86.77980461361354, 'surprise': 2.0812411539887447e-11, 'neutral': 0.13393897829187176}",sad,68143239.jpg
29,"{'x': 581, 'y': 425, 'w': 496, 'h': 621}",0.91,"{'Woman': 3.3143796026706696, 'Man': 96.68562412261963}",Man,"{'asian': 99.99958276748657, 'indian': 6.0015275948899216e-05, 'black': 4.50201497415037e-05, 'white': 5.229698274433758e-06, 'middle eastern': 1.5552130416818244e-08, 'latino hispanic': 0.0003089670826739166}",asian,"{'angry': 30.17019269821731, 'disgust': 9.217249305839495e-15, 'fear': 0.004609969797240446, 'happy': 4.993102580141621e-06, 'sad': 1.626117147372109, 'surprise': 1.915711805080557e-07, 'neutral': 68.1990720988426}",neutral,49552940.jpg
